ts,tempC,tempH,humidity,LDR
1582636955,19.00,66.20,57.00,151
1582636965,19.00,66.20,57.00,137
1582636975,19.00,66.20,57.00,162
1582636985,19.00,66.20,57.00,129
1582636995,19.00,66.20,57.00,129
1582637005,19.00,66.20,57.00,125
1582637015,19.00,66.20,57.00,138
1582637025,19.00,66.20,57.00,150
1582637035,19.11,66.39,57.00,170
1582637045,19.11,66.39,57.00,170
1582637055,19.11,66.39,57.00,141
1582637403,19.11,66.39,57.00,152
1582637413,19.21,66.56,58.00,150
1582637426,19.21,66.56,58.00,145
1582637456,19.21,66.56,57.00,19
1582637648,19.71,67.46,57.00,30
1582637658,22.40,72.32,51.00,29
1582637668,22.50,72.50,50.00,30
1582637678,22.50,72.50,50.00,29
1582637688,22.61,72.69,50.00,30
1582637698,22.61,72.69,50.00,31
1582637884,22.71,72.87,49.00,41
1582637922,22.71,72.87,50.00,41
1582639202,22.71,72.87,50.00,99
1582640102,21.40,70.52,57.00,261
1582641002,20.50,68.90,58.00,43
1582641902,21.11,69.98,58.00,103
1582642802,20.30,68.54,60.00,54
1582643702,20.90,69.62,59.00,31
1582644602,22.00,71.60,58.00,92
1582645502,20.90,69.62,63.00,57
1582646403,20.90,69.62,62.00,19
1582647303,28.71,83.67,42.00,64
1582648203,25.21,77.37,49.00,85
1582649103,23.40,74.12,56.00,58
1582650003,23.30,73.95,57.00,86
1582650903,22.50,72.50,60.00,263
1582651803,21.00,69.81,65.00,296
1582652704,20.21,68.37,67.00,595
1582653604,19.71,67.46,68.00,930
1582654504,19.50,67.10,68.00,1000
1582655404,19.40,66.92,69.00,1005
1582656304,19.30,66.74,69.00,1018
1582657204,19.21,66.56,69.00,1021
1582658104,19.11,66.39,69.00,1021
1582659004,19.00,66.20,70.00,1021
1582659904,19.00,66.20,70.00,1021
1582660804,19.00,66.20,70.00,1021
1582661705,18.80,65.84,70.00,1021
1582662605,18.80,65.84,70.00,1021
1582663505,18.80,65.84,70.00,1021
1582664405,18.71,65.67,70.00,1021
1582665305,18.71,65.67,70.00,1021
1582666205,18.71,65.67,70.00,1021
1582667105,18.61,65.48,70.00,1021
1582668005,18.50,65.31,71.00,1021
1582668905,18.50,65.31,71.00,1021
1582669806,18.40,65.12,71.00,1021
